name,category,district,entrance_fee,accessibility,trekking_difficulty,description,image_path
"Dry Zone Botanic Gardens, Hambantota",attraction,Hambantota,0.0,Moderate,N/A,"Dry Zone Botanic Gardens, Hambantota located in Hambantota.","data/images/dry_zone_botanic_gardens,_hambantota.jpg"
Dumbara ella waterfalls,attraction,Matale,0.0,Moderate,N/A,Dumbara ella waterfalls located in Matale.,data/images/dumbara_ella_waterfalls.jpg
Dumpus Ella,attraction,Rathnapura,0.0,Moderate,N/A,Dumpus Ella located in Rathnapura.,data/images/dumpus_ella.jpg
Dunhida Waterfall access point,attraction,Badulla,0.0,Moderate,N/A,Dunhida Waterfall access point located in Badulla.,data/images/dunhida_waterfall_access_point.jpg
Dunhinda Waterfall,attraction,Badulla,0.0,Moderate,N/A,Dunhinda Waterfall located in Badulla.,data/images/dunhinda_waterfall.jpg
Dutch Museum,attraction,colombo,0.0,Moderate,N/A,Dutch Museum located in colombo.,data/images/dutch_museum.jpg
Dutch Reformed Church,attraction,Galle,0.0,Moderate,N/A,Dutch Reformed Church located in Galle.,data/images/dutch_reformed_church.jpg
Excel World Entertainment Park,attraction,colombo,0.0,Moderate,N/A,Excel World Entertainment Park located in colombo.,data/images/excel_world_entertainment_park.jpg
Flamingos Safari Tours,attraction,Hambantota,0.0,Moderate,N/A,Flamingos Safari Tours located in Hambantota.,data/images/flamingos_safari_tours.jpg
Galhinna big rock,attraction,Kurunagela,0.0,Moderate,N/A,Galhinna big rock located in Kurunagela.,data/images/galhinna_big_rock.jpg
Galle,attraction,Galle,0.0,Moderate,N/A,"Nearby Accommodation: GALLE FORT HOTEL (Boutique Hotels), ADITYA (Boutique Hotels), CLUB VILLA (Boutique Hotels)",data/images/galle.jpg
Galle Dutch Fort,attraction,Galle,0.0,Moderate,N/A,Galle Dutch Fort located in Galle.,data/images/galle_fort.jpg
Galle Face Green,attraction,colombo,0.0,Moderate,N/A,Galle Face Green located in colombo.,data/images/galle_face_green.jpg
Galle Face park & Beach,attraction,colombo,0.0,Moderate,N/A,Galle Face park & Beach located in colombo.,data/images/galle_face_park_&_beach.jpg
Galle Fort Attractions and Jumpers Sri Lanka,attraction,Galle,0.0,Moderate,N/A,Galle Fort Attractions and Jumpers Sri Lanka located in Galle.,data/images/galle_fort_attractions_and_jumpers_sri_lanka.jpg
Galle Fort Clock Tower,attraction,Galle,0.0,Moderate,N/A,Galle Fort Clock Tower located in Galle.,data/images/galle_fort.jpg
Galpotha Natural water slide,attraction,Hatton,0.0,Moderate,N/A,Galpotha Natural water slide located in Hatton.,data/images/galpotha_natural_water_slide.jpg
